개봉년도,제목,요약,줄거리,장르,국내외,감독,배우,포스터
2021,레미니센스,모든 단서는 기억 속에 있다!,"해수면의 상승으로 도시의 절반이 바다에 잠긴 가까운 미래.사람들의 머릿속을 엿보는 탐정 닉은 고객들이 잃어버린 기억에 다가가게 도와주며 위험하지만 매혹적인 세계인 과거 속을 항해한다.단조롭던 닉의 인생은 잃어버린 귀걸이를 찾으려는 새로운 고객 메이의 등장으로 영원히 바뀌게 된다.닉은 메이와 운명처럼 사랑에 빠지지만, 어느 날 메이는 흔적도 없이 사라져 버린다.메이의 실종에 대한 진실을 찾고자 분투하던 닉은 숨겨진 잔혹한 음모를 밝혀내고, 결국 이 질문에 대해 대답을 해야만 하는데….“사랑하는 이를 곁에 두기 위해, 당신은 무엇까지 할 수 있는가?”","SF, 미스터리, 멜로/로맨스",0.0,리사 조이,"휴 잭맨, 레베카 퍼거슨, 탠디 뉴튼",https://movie-phinf.pstatic.net/20210804_250/1628065435107dcu90_JPEG/movie_image.jpg?type=m203_290_2
2021,레컨,극한의 자살 임무를 확인하라!,"2차 세계대전이 끝나갈 무렵마지막 임무를 위해 전진하는 부대원들에게매복, 저격수 그리고 지뢰가 기다린다.산 위에 주둔한 독일군을 정찰하는 부대원들은자실 임무인 것을 깨닫고, 마지막 전투를 준비하는데…","전쟁, 액션",0.0,로버트 데이비드 포트,"알렉산더 루드윅, 프랑코 네로, 샘 킬리",https://movie-phinf.pstatic.net/20210208_112/1612748791504bs9H4_JPEG/movie_image.jpg?type=m203_290_2
2021,로그시티,정의 없는 전쟁이 시작된다!,"두 마약 밀매 조직이 암투를 벌이고 있는 마르세유에 새로운 치안총감이 부임한다. 그 시각 많은 사람들이 모인 클럽에 테러 조직이 난입해 무차별적인 총격전이 벌어지고, 두 조직간의 사태를 더욱 악화시킨다. 이때 총격전에서 빠져 나오지 못한 조직원 한 명이 경찰의 조사를 받게 되고, 그 과정에서 경찰에 의해 살해 당하게 된다. 이 사건으로 부패한 경찰이 내부 정보를 마약 밀매 조직에 흘리고 있다는 사실이 밝혀지고, 경찰 내부에서는 서로를 의심하기 시작하는데…","드라마, 액션, 범죄",0.0,올리비에르 마샬,"래닉 가우트리, 스타니슬라 메하르, 데이비드 벨",https://movie-phinf.pstatic.net/20210111_248/1610345142246RSGNH_JPEG/movie_image.jpg?type=m203_290_2
2021,로또쉐어,로또 샀어! 만약 이거 당첨되면 우리 다 같이 나누는 거다!,"해마다 함께 여행을 떠나는 여섯 명의 친구들이번 여행지에서는 또 어떤 즐거운 추억을 만들지 들뜬 설렘 속갑자기 등장한 낯선 이방인 네 명과 조우한다.그리고, 예상치 못한 거액의 상금에 덜컥 당첨된 로또 한장하지만 로또의 행방이 묘연해지고 점차 그들 사이에는 기괴한 분위기가 감도는데...우리 중, 범인이 있다!","스릴러, 액션, 범죄",1.0,소재익,"유의태, 명진현, 최대훈)",https://movie-phinf.pstatic.net/20211026_145/1635217113150K3R7U_JPEG/movie_image.jpg?type=m203_290_2
2021,로스트 인 스페이스: 타이탄의 반격,"서기 2420년, 외계 종족의 지배를 받게 된 인류의 특급 고공 반격이 시작된다! 
하나의 미션, 네 번의 전투, 옴니버스 SF 액션 블록버스터!","우주 문명을 이룩했으나 초월적 기술력을 갖춘 외계 종족에 의해 암울한 미래를 맞이하게 된 인류.서로 다른 시간대, 저마다의 이유로 조종간을 잡게 된 함대 전투기 파일럿들이 최후의 일전을 준비한다.","SF, 액션",0.0,"루카스 켄들, 앤드류 잭시","멜리나 메튜스, 톰 매든, 라이언 맥코믹",https://movie-phinf.pstatic.net/20210319_90/1616131334445nBT2I_JPEG/movie_image.jpg?type=m203_290_2
2021,루카,"바다 밖은 위험해?! 아니, 궁금해!","이탈리아 리비에라의 아름다운 해변 마을,바다 밖 세상이 궁금하지만, 두렵기도 한 호기심 많은 소년 '루카'자칭 인간세상 전문가 ‘알베르토’와 함께 모험을 감행하지만,물만 닿으면 바다 괴물로 변신하는 비밀 때문에 아슬아슬하기만 하다.새로운 친구 ‘줄리아’와 함께 젤라또와 파스타를 실컷 먹고스쿠터 여행을 꿈꾸는 여름은 그저 즐겁기만 한데…과연 이들은 언제까지 비밀을 감출 수 있을까?함께라서 행복한 여름,우리들의 잊지 못할 모험이 시작된다!","애니메이션, 모험, 코미디",0.0,엔리코 카사로사,"제이콥 트렘블레이, 잭 딜런 그레이저, 엠마 버만",https://movie-phinf.pstatic.net/20210603_104/1622684157296bKxr2_JPEG/movie_image.jpg?type=m203_290_2
2021,루프,그녀는 죽었고...옥상 위에서 떨어진 범인은 사라졌다!,"세상 둘도 없는 사랑하는 연인을 눈 앞에서 잃은 물리학자 다니엘은 바로 그 날, 잔혹한 사건이 있기 직전으로 시간을 되돌릴 수 있는 방법을 알아내고 목숨을 건 위험한 시간 여행을 떠나게 된다. 과거로 돌아가면 쉽게 잡을 수 있을 줄 알았던 범인의 실체는 그러나 점점 묘연해져만 가는데 ...","액션, 스릴러",0.0,브루노 비니,"브루노 가글리아소, 베아트리스 아란테스",https://movie-phinf.pstatic.net/20201222_113/16085973044425cPeq_JPEG/movie_image.jpg?type=m203_290_2
2021,리스펙트,“내가 부르고 싶은 노래를 부를래요”,내면의 폭풍을 이겨낸 강한 여자세상을 바꾸고 영혼을 위로한 환상의 디바아레사 프랭클린.그녀의 노래가 울려 퍼진다!,드라마,0.0,리슬 타미,제니퍼 허드슨,https://movie-phinf.pstatic.net/20210813_4/1628817157758qmOuM_JPEG/movie_image.jpg?type=m203_290_2
2021,리얼생존예능 펀하우스,"24시간 전세계 생중계! 
리얼생존예능 ‘펀하우스’ 런칭!","우승상금 5백만 달러가 걸린 온라인 리얼생존예능에세계 각지의 한물간 셀럽들이 모인다.참가자 8명은 ‘펀하우스’라는 공간에서자신의 모든 것을 여과없이 전세계 시청자들에게 보여주게 되고,이를 본 시청자들은 3일마다 투표를 통해 탈락자와 다음 도전과제를 정한다.광란의 3일을 보내고 첫 번째 탈락자가 정해진 순간,참가자들은 탈락이 곧 죽음을 의미하는 것임을 목격한다.실체를 드러내는 펀하우스,지금부터 생존을 위한 질펀한 예능이 시작된다!","범죄, 스릴러",0.0,제이슨 윌리엄 리,발테르 스카스가드,https://movie-phinf.pstatic.net/20210414_171/1618384910683kHVeB_JPEG/movie_image.jpg?type=m203_290_2
2021,리유니언,“네가 돌아오길 기다렸단다”,"고대 흑마술을 연구하는 학자 ‘엘리’는 출산 준비를 위해 오랜만에 집으로 돌아온다.엄마 ‘아이비’는 딸을 반갑게 맞이하지만 두 사람 사이엔 뭔지 모를 무거운 기류가 흐른다.시간이 멈춘 듯 낡은 집은 봉인된 기억을 깨우고‘엘리’ 앞에 죽은 자매 ‘카라’가 나타나면서 끔찍한 악몽이 되살아난다.“우리, 이번엔 진짜 가족이 되는 거야”","공포, 미스터리, 스릴러",0.0,제이크 마하피,"줄리아 오몬드, 엠마 드레이퍼",https://movie-phinf.pstatic.net/20211026_119/1635234152070gVnhO_JPEG/movie_image.jpg?type=m203_290_2
